epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54509,2.03242,4.71418,1.43445,0.00207,0.35714,0.00148,0.00078,2.01957,4.01262,1.14933,8.335e-05,8.335e-05,8.335e-05
2,3.85184,2.00503,4.36642,1.29253,0.00291,0.51786,0.12463,0.0991,2.0174,3.85147,1.00706,0.000181555,0.000181555,0.000181555
3,5.27188,1.8997,3.10321,1.19964,0.00292,0.51786,0.18075,0.03763,2.27889,3.70582,1.19649,0.000277779,0.000277779,0.000277779
4,6.59866,1.83707,2.82126,1.17757,0.00167,0.32143,0.0012,0.00057,2.19067,3.77758,1.18958,0.000372023,0.000372023,0.000372023
5,7.91981,1.75322,2.43782,1.20244,0.00212,0.44643,0.00164,0.00095,2.23853,3.72702,1.13672,0.000464286,0.000464286,0.000464286
6,9.23469,1.67463,2.24149,1.19595,0.00185,0.41071,0.00151,0.00089,2.17605,3.73316,1.19347,0.000554569,0.000554569,0.000554569
7,10.5347,1.76267,2.08271,1.20866,0.00169,0.41071,0.00142,0.00087,2.23602,3.75221,1.24216,0.000642872,0.000642872,0.000642872
8,11.8654,1.76623,2.06084,1.21039,0.00123,0.28571,0.00083,0.00026,2.41981,3.75256,1.38448,0.000729194,0.000729194,0.000729194
9,13.2067,1.73543,2.00801,1.21494,0,0,0,0,2.49197,4.27441,1.57029,0.000813536,0.000813536,0.000813536
10,14.4499,1.62976,1.89093,1.14497,0.00041,0.03571,0.00022,4e-05,2.64387,4.19059,1.65526,0.000895897,0.000895897,0.000895897
11,15.6989,1.65719,1.73305,1.15175,0.00125,0.19643,0.00104,0.00048,2.19284,3.76361,1.26164,0.000976279,0.000976279,0.000976279
12,16.937,1.59459,1.72919,1.17548,0.00208,0.44643,0.37341,0.21743,2.34809,3.51318,1.27752,0.00105468,0.00105468,0.00105468
13,18.1601,1.64069,1.6944,1.18958,0.0025,0.48214,0.37716,0.20919,2.26158,3.12511,1.15808,0.0011311,0.0011311,0.0011311
14,19.3807,1.57206,1.6608,1.17754,0.92857,0.375,0.39172,0.25571,2.19468,2.76904,1.20103,0.00120554,0.00120554,0.00120554
15,20.6179,1.64157,1.62141,1.18294,0.9805,0.375,0.3739,0.23218,2.24442,2.9162,1.32223,0.001278,0.001278,0.001278
