epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.995,1.73584,2.30346,1.79118,0.73359,0.27322,0.23054,0.07528,1.97538,2.16957,1.89666,0.00333035,0.00333035,0.00333035
2,235.572,1.61221,1.90667,1.69718,0.74965,0.23566,0.2206,0.07579,1.95742,2.0015,1.82855,0.00659771,0.00659771,0.00659771
3,344.652,1.67272,1.89556,1.74306,0.70813,0.22329,0.16823,0.0534,2.10547,2.12288,2.03145,0.00979908,0.00979908,0.00979908
4,452.737,1.68388,1.88325,1.77911,0.69737,0.21235,0.1597,0.04638,2.15575,2.11282,2.14325,0.009703,0.009703,0.009703
5,561.154,1.62272,1.788,1.73387,0.70982,0.24205,0.19199,0.05843,2.18776,2.00572,2.10421,0.009604,0.009604,0.009604
6,672.039,1.58215,1.71523,1.69997,0.7331,0.21756,0.20079,0.06607,2.16221,1.95595,2.08246,0.009505,0.009505,0.009505
7,778.816,1.56251,1.67449,1.68714,0.78978,0.24831,0.26412,0.08846,2.02689,1.72283,1.93293,0.009406,0.009406,0.009406
8,887.225,1.52357,1.624,1.65717,0.76603,0.24411,0.29896,0.09011,2.09808,1.80137,1.99405,0.009307,0.009307,0.009307
9,994.999,1.50943,1.59362,1.64857,0.81738,0.27853,0.29412,0.11111,1.95125,1.59554,1.84459,0.009208,0.009208,0.009208
10,1102.96,1.49108,1.55056,1.62978,0.79131,0.25604,0.27732,0.11179,1.94067,1.64446,1.85736,0.009109,0.009109,0.009109
11,1211.87,1.47001,1.51314,1.61779,0.8238,0.28635,0.29904,0.11575,1.91513,1.64169,1.83385,0.00901,0.00901,0.00901
12,1322.65,1.46207,1.48731,1.60749,0.82788,0.28452,0.304,0.11347,2.01418,1.52911,1.89321,0.008911,0.008911,0.008911
13,1431.72,1.44767,1.4624,1.59192,0.83788,0.28817,0.30241,0.12077,1.91396,1.55367,1.8136,0.008812,0.008812,0.008812
14,1540.21,1.43918,1.44654,1.58231,0.85296,0.29625,0.33314,0.14802,1.78672,1.43239,1.73128,0.008713,0.008713,0.008713
15,1647.52,1.42461,1.42206,1.57626,0.86781,0.2999,0.40162,0.15976,1.85653,1.41957,1.72686,0.008614,0.008614,0.008614
16,1754.48,1.41503,1.39771,1.56773,0.83051,0.2754,0.30601,0.11591,1.99626,1.51086,1.86508,0.008515,0.008515,0.008515
17,1863.03,1.40213,1.37594,1.5543,0.86554,0.30745,0.44577,0.15748,1.86793,1.39352,1.73827,0.008416,0.008416,0.008416
18,1971.38,1.4008,1.37017,1.55095,0.85139,0.29695,0.32718,0.13432,1.87057,1.38639,1.7484,0.008317,0.008317,0.008317
19,2081.36,1.39266,1.35479,1.55009,0.87972,0.30875,0.40983,0.17926,1.76354,1.2968,1.66758,0.008218,0.008218,0.008218
20,2193.24,1.38111,1.33644,1.53697,0.8484,0.30641,0.43411,0.18621,1.81456,1.37349,1.70389,0.008119,0.008119,0.008119
21,2303.57,1.37952,1.32739,1.53425,0.86802,0.32186,0.39151,0.17172,1.84146,1.28576,1.70558,0.00802,0.00802,0.00802
22,2416.72,1.37528,1.31617,1.52799,0.86753,0.31371,0.41152,0.15935,1.89989,1.34107,1.74612,0.007921,0.007921,0.007921
23,2529,1.36254,1.2994,1.51814,0.85194,0.29913,0.41232,0.16821,1.86075,1.32392,1.76269,0.007822,0.007822,0.007822
24,2635.47,1.35943,1.27936,1.51749,0.86209,0.30372,0.42792,0.18237,1.84098,1.30869,1.71219,0.007723,0.007723,0.007723
25,2742.12,1.34998,1.27143,1.50939,0.46494,0.6291,0.60918,0.2179,1.80189,1.26211,1.67706,0.007624,0.007624,0.007624
26,2849.73,1.34925,1.26821,1.50623,0.30861,0.75541,0.55766,0.2363,1.77723,1.25214,1.66961,0.007525,0.007525,0.007525
27,2958.4,1.34526,1.25436,1.50419,0.33377,0.75853,0.62889,0.28163,1.74173,1.22006,1.64609,0.007426,0.007426,0.007426
28,3065.27,1.33754,1.24824,1.49907,0.38798,0.76088,0.66209,0.28414,1.78305,1.2415,1.66063,0.007327,0.007327,0.007327
29,3172.58,1.33344,1.22741,1.49283,0.39615,0.76531,0.61776,0.27284,1.72976,1.20453,1.62674,0.007228,0.007228,0.007228
30,3279.19,1.32606,1.2235,1.48645,0.34611,0.75789,0.58333,0.23853,1.76131,1.19278,1.6448,0.007129,0.007129,0.007129
31,3385.47,1.32316,1.22102,1.48521,0.43563,0.71644,0.6511,0.29049,1.77451,1.2024,1.66784,0.00703,0.00703,0.00703
32,3492.58,1.31806,1.20503,1.47705,0.37336,0.62572,0.6281,0.274,1.76336,1.18779,1.63867,0.006931,0.006931,0.006931
